Scale_ID,RawScore,DecileScore,ScoreText,Sex_Code_Text_Female,Sex_Code_Text_Male,Ethnic_Code_Text_African-Am,Ethnic_Code_Text_African-American,Ethnic_Code_Text_Arabic,Ethnic_Code_Text_Asian,Ethnic_Code_Text_Caucasian,Ethnic_Code_Text_Hispanic,Ethnic_Code_Text_Native American,Ethnic_Code_Text_Oriental,Ethnic_Code_Text_Other
8,0.386,2,0.0,0,1,0,0,0,0,1,0,0,0,0
8,0.307,1,0.0,0,1,0,0,0,0,1,0,0,0,0
8,0.6086,8,2.0,0,1,0,1,0,0,0,0,0,0,0
8,0.4811,6,1.0,1,0,0,1,0,0,0,0,0,0,0
8,0.298,2,0.0,1,0,0,1,0,0,0,0,0,0,0
8,0.7038,10,2.0,0,1,0,0,0,0,0,1,0,0,0
8,0.2639,1,0.0,1,0,0,0,0,0,1,0,0,0,0
8,0.6445,9,2.0,0,1,0,1,0,0,0,0,0,0,0
8,0.3591,2,0.0,0,1,0,0,0,0,0,0,0,0,1
8,0.3411,2,0.0,0,1,0,0,0,0,1,0,0,0,0
8,0.5871,7,1.0,0,1,0,1,0,0,0,0,0,0,0
8,0.2783,1,0.0,0,1,0,0,0,0,1,0,0,0,0
8,0.2765,1,0.0,1,0,0,0,0,0,1,0,0,0,0
8,0.3968,4,0.0,1,0,0,1,0,0,0,0,0,0,0
8,0.474,6,1.0,1,0,0,1,0,0,0,0,0,0,0
8,0.1975,1,0.0,0,1,0,1,0,0,0,0,0,0,0
8,0.3447,2,0.0,0,1,0,0,0,0,1,0,0,0,0
8,0.5117,5,1.0,0,1,0,0,0,0,1,0,0,0,0
8,0.4417,3,0.0,0,1,0,0,0,0,1,0,0,0,0
8,0.2998,1,0.0,0,1,0,1,0,0,0,0,0,0,0
8,0.5727,7,1.0,0,1,0,1,0,0,0,0,0,0,0
8,0.7181,10,2.0,0,1,0,0,0,0,0,0,0,0,1
8,0.4147,4,0.0,1,0,0,0,0,0,1,0,0,0,0
8,0.3645,2,0.0,0,1,0,0,0,0,1,0,0,0,0
8,0.2549,1,0.0,1,0,0,1,0,0,0,0,0,0,0
8,0.632,9,2.0,0,1,0,1,0,0,0,0,0,0,0
8,0.5763,7,1.0,0,1,0,0,0,0,1,0,0,0,0
8,0.6625,9,2.0,0,1,0,1,0,0,0,0,0,0,0
8,0.6643,9,2.0,0,1,0,0,0,0,1,0,0,0,0
8,0.6786,9,2.0,0,1,0,1,0,0,0,0,0,0,0
8,0.6499,9,2.0,0,1,0,1,0,0,0,0,0,0,0
8,0.5566,8,2.0,1,0,0,0,0,0,1,0,0,0,0
8,0.2962,1,0.0,0,1,0,1,0,0,0,0,0,0,0
8,0.1077,1,0.0,0,1,0,0,0,0,1,0,0,0,0
8,0.5296,6,1.0,0,1,0,0,0,0,0,1,0,0,0
8,0.2352,1,0.0,1,0,0,0,0,0,1,0,0,0,0
8,0.395,2,0.0,0,1,0,1,0,0,0,0,0,0,0
8,0.5458,6,1.0,0,1,0,1,0,0,0,0,0,0,0
8,0.3968,3,0.0,0,1,0,0,0,0,1,0,0,0,0
8,0.4919,5,1.0,0,1,0,0,0,0,1,0,0,0,0
8,0.6014,9,2.0,1,0,0,1,0,0,0,0,0,0,0
8,0.5655,7,1.0,0,1,0,1,0,0,0,0,0,0,0
8,0.6661,9,2.0,0,1,0,1,0,0,0,0,0,0,0
8,0.2316,1,0.0,1,0,0,1,0,0,0,0,0,0,0
8,0.3232,1,0.0,0,1,0,0,0,0,0,0,0,0,1
8,0.4093,3,0.0,0,1,0,0,0,0,1,0,0,0,0
